symbol,name
AAPL,Apple Inc.
NVDA,NVIDIA Corporation
MSFT,Microsoft Corporation
AMZN,"Amazon.com, Inc."
GOOG,Alphabet Inc.
GOOGL,Alphabet Inc.
META,"Meta Platforms, Inc."
BRK-A,Berkshire Hathaway Inc.
BRK-B,Berkshire Hathaway Inc.
TSM,Taiwan Semiconductor Manufacturing Company Limited
AVGO,Broadcom Inc.
TSLA,"Tesla, Inc."
DIDAF,"Distribuidora Internacional de Alimentación, S.A."
JPM,JPMorgan Chase & Co.
LLY,Eli Lilly and Company
WMT,Walmart Inc.
V,Visa Inc.
TCEHY,Tencent Holdings Limited
TCTZF,Tencent Holdings Limited
XOM,Exxon Mobil Corporation
MA,Mastercard Incorporated
UNH,UnitedHealth Group Incorporated
BAC,Bank of America Corporation
ORCL,Oracle Corporation
NFLX,"Netflix, Inc."
COST,Costco Wholesale Corporation
JNJ,Johnson & Johnson
PG,The Procter & Gamble Company
ABBV,AbbVie Inc.
BABAF,Alibaba Group Holding Limited
HD,"The Home Depot, Inc."
CHWRF,China Tower Corporation Limited
NONOF,Novo Nordisk A/S
IDCBY,Industrial and Commercial Bank of China Limited
NVO,Novo Nordisk A/S
IDCBF,Industrial and Commercial Bank of China Limited
JPM-PD,JPMorgan Chase & Co.
JPM-PC,JPMorgan Chase & Co.
BABA,Alibaba Group Holding Limited
LVMHF,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
SAP,SAP SE
SAPGF,SAP SE
BML-PG,Bank of America Corporation
BML-PH,Bank of America Corporation
BAC-PK,Bank of America Corporation
BAC-PL,Bank of America Corporation
BML-PL,Bank of America Corporation
SSNLF,"Samsung Electronics Co., Ltd."
TMUS,"T-Mobile US, Inc."
